child_events,id,ticket_id,timestamp,created_at,updater_id,via,system,event_type
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707385868853,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":379869233614,""id"":707385868893,""via"":""Chat""},{""subject"":""Chat with TOSHIKAZU NISHIWAKI"",""event_type"":""Create"",""via_reference_id"":null,""id"":707385868933,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707385868973,""assignee_id"":5396187947,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707385869013,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":707385869033,""added_tags"":[""zopim_chat""],""tags"":[""zopim_chat""],""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":707385869073,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":707385869093,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707385869113,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""360888209833"",""via_reference_id"":null,""id"":707385869133,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":707385869193,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":707385869233,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":707385869293,""via"":""Chat""}]",7.07386E+11,38854,1557888040,40:40.0,3.79869E+11,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707354271413,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":21841797627,""id"":707354271513,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":707354271593,""added_tags"":[""datacenter_aws"",""datacenter_aws_tokyo"",""zopim_chat""],""tags"":[""datacenter_aws"",""datacenter_aws_tokyo"",""zopim_chat""],""via"":""Chat""},{""subject"":""Chat with Chiharu Sagae"",""event_type"":""Create"",""via_reference_id"":null,""id"":707354271673,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707354271733,""assignee_id"":5396187947,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707354271813,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":707354271833,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":707354271913,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707354271973,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""15700397787"",""via_reference_id"":null,""id"":707354272033,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":707354272093,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":707354272193,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":707354272253,""via"":""Chat""}]",7.07354E+11,38852,1557885167,52:47.0,21841797627,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707327456333,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":13659789407,""id"":707327456393,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":707327456433,""added_tags"":[""datacenter_aws"",""zopim_chat""],""tags"":[""datacenter_aws"",""zopim_chat""],""via"":""Chat""},{""subject"":""Chat with embulk production"",""event_type"":""Create"",""via_reference_id"":null,""id"":707327456513,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707327456553,""assignee_id"":373612143614,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707327456613,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":707327456673,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":707327456773,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707327456833,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""21255359408"",""via_reference_id"":null,""id"":707327456853,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":707327456893,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":707327456953,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":707327456993,""via"":""Chat""}]",7.07327E+11,38847,1557882474,07:54.0,13659789407,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707992665794,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":372985310293,""id"":707992665814,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":707992665874,""added_tags"":[""datacenter_aws"",""zopim_chat""],""tags"":[""datacenter_aws"",""zopim_chat""],""via"":""Chat""},{""subject"":""Chat with 菅沼幸子"",""event_type"":""Create"",""via_reference_id"":null,""id"":707992665954,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707992665994,""assignee_id"":373612143614,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707992666034,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":707992666094,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":707992666114,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":707992666174,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""260112257"",""via_reference_id"":null,""id"":707992666214,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":707992666234,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":707992666294,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":707992666354,""via"":""Chat""}]",7.07993E+11,38846,1557882469,07:49.0,3.72985E+11,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707823443954,""comment_present"":true,""via"":""Mail""},{""event_type"":""Change"",""status"":""open"",""via_reference_id"":null,""id"":707823444034,""previous_value"":""pending"",""via"":""Mail""}]",7.07823E+11,38839,1557870253,44:13.0,3.65251E+11,Mail,"{""location"":""United States"",""client"":null,""longitude"":-97.822,""latitude"":37.751000000000005}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":707155651613,""comment_present"":true,""via"":""Web form""},{""subject"":""heard there was a LiveRamp data source in the catalog"",""event_type"":""Change"",""via_reference_id"":null,""id"":707155651753,""previous_value"":""Missed Chat with Darren Helton"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""id"":707155651813,""previous_value"":""0"",""via"":""Web form"",""type"":""question""},{""event_type"":""Change"",""via_reference_id"":null,""priority"":""normal"",""id"":707155651873,""previous_value"":""0"",""via"":""Web form""},{""event_type"":""Change"",""status"":""pending"",""via_reference_id"":null,""id"":707155651933,""previous_value"":""open"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""removed_tags"":[],""id"":707155651993,""added_tags"":[""category-data-collection-bulk"",""dataconnector"",""ended-escalated-only-support""],""tags"":[""category-data-collection-bulk"",""datacenter_aws"",""dataconnector"",""ended-escalated-only-support"",""inc"",""treasure_data"",""zopim_chat"",""zopim_chat_ended"",""zopim_chat_missed""],""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""81568788"":""ended-escalated-only-support""},""id"":707155652053,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77496087"":""dataconnector""},""id"":707155652113,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""77984587"":""category-data-collection-bulk""},""id"":707155652193,""previous_value"":null,""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277327"":""1275""},""id"":707155652253,""previous_value"":""49"",""via"":""Web form""},{""event_type"":""Change"",""via_reference_id"":null,""custom_ticket_fields"":{""360000277347"":""1226""},""id"":707155652293,""previous_value"":""49"",""via"":""Web form""}]",7.07156E+11,38839,1557869743,35:43.0,1108748858,Web form,"{""location"":""San Jose, CA, United States"",""client"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:66.0) Gecko/20100101 Firefox/66.0"",""longitude"":-121.8914,""latitude"":37.33879999999999}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708055999414,""comment_present"":true,""via"":""Web service""}]",7.08056E+11,38844,1557888504,48:24.0,3.7334E+11,Web service,"{""location"":""Ashburn, VA, United States"",""client"":""node-zendesk/1.3.0 (node/10.14.2)"",""longitude"":-77.4728,""latitude"":39.048100000000005}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":708057674674,""comment_present"":true,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""requester_id"":374837172853,""id"":708057674754,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""removed_tags"":[],""id"":708057674794,""added_tags"":[""datacenter_aws"",""zopim_chat""],""tags"":[""datacenter_aws"",""zopim_chat""],""via"":""Chat""},{""subject"":""Chat with Noriaki Sakao"",""event_type"":""Create"",""via_reference_id"":null,""id"":708057674834,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":708057674874,""assignee_id"":373612143614,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":708057674934,""group_id"":25879637,""via"":""Chat""},{""event_type"":""Create"",""status"":""open"",""via_reference_id"":null,""id"":708057674974,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""priority"":null,""id"":708057675014,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""id"":708057675034,""via"":""Chat"",""type"":null},{""event_type"":""Create"",""organization_id"":""364728696773"",""via_reference_id"":null,""id"":708057675054,""via"":""Chat""},{""event_type"":""Create"",""brand_id"":""381217"",""via_reference_id"":null,""id"":708057675074,""via"":""Chat""},{""event_type"":""Create"",""via_reference_id"":null,""ticket_form_id"":""166578"",""id"":708057675094,""via"":""Chat""},{""event_type"":""Create"",""is_public"":""f"",""via_reference_id"":null,""id"":708057675114,""via"":""Chat""}]",7.08058E+11,38855,1557888687,51:27.0,3.74837E+11,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":true,""event_type"":""Comment"",""via_reference_id"":null,""id"":708060798214,""comment_present"":true,""via"":""Chat""},{""event_type"":""Change"",""is_public"":""t"",""via_reference_id"":null,""id"":708060798294,""previous_value"":""0"",""via"":""Chat""}]",7.08061E+11,38850,1557889037,57:17.0,3.60632E+11,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
"[{""comment_public"":false,""event_type"":""Comment"",""via_reference_id"":null,""id"":707394858593,""comment_present"":true,""via"":""Chat""}]",7.07395E+11,38850,1557889038,57:18.0,3.60632E+11,Chat,"{""location"":""Fairfield, CT, United States"",""client"":""Zopim-Zendesk Integration v2"",""longitude"":-73.2637,""latitude"":41.1412}",Audit
